"","rii","rii_infci","rii_supci","encuesta","ccaa","sexo","nombre","nombre_notilde","abreviatura","id_mapa","fr"
"1",2.90083898405963,1.80875723688914,4.65229199354179,2001-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"2",2.51682956421314,1.58477113090873,3.99706363382897,2001-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"3",2.3797608513295,1.4867611066519,3.80912688943945,2001-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"4",2.57281337858833,1.61052465728338,4.11006975342344,2001-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"5",2.66712203084365,1.64036700444737,4.33655389807604,2001-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"6",2.44244600929348,1.52592380435453,3.90946290456298,2001-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"7",2.39408233793285,1.50452916187378,3.80958401209299,2001-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"8",2.09384062659839,1.2877802502936,3.40443842697106,2001-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"9",2.31173887247454,1.45563175170446,3.67135204920624,2001-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"10",2.52186826035815,1.59418080114638,3.98939663432685,2001-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"11",2.68049103565783,1.6779285052236,4.282084826543,2001-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"12",2.41814326544233,1.52263136605059,3.84033652700269,2001-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"13",2.51682956421314,1.59099562578117,3.98142581453492,2001-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"14",2.5676728940292,1.60415959079006,4.10990535392131,2001-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"15",2.26143597798651,1.39085685546448,3.67693674761659,2001-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"16",2.35372693103466,1.46474329227657,3.78225351506288,2001-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"17",2.38691085352428,1.48830814252203,3.82806709168271,2001-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"18",2.84339852365177,1.71484037416945,4.71467507185376,2003-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"19",2.34902418148972,1.4560976284013,3.78952241772535,2003-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"20",2.36552503637381,1.4435133955677,3.87645082816195,2003-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"21",2.69932029844108,1.64076073977479,4.44082424508533,2003-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"22",2.77596934578796,1.67417415181754,4.60286989880267,2003-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"23",2.45960311115695,1.51867766653548,3.98349669434057,2003-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"24",2.33030695676181,1.43884398070295,3.77409266436204,2003-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"25",2.7074304184338,1.65215417993111,4.43674056556047,2003-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"26",2.56254268016508,1.59781968011866,4.10974096099504,2003-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"27",2.6300424848643,1.61756187477538,4.27626514945633,2003-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
"28",2.58312524208052,1.59494619160994,4.18354929550209,2003-01-01,11,"Overall","Extremadura","Extremadura","EX",70,"diabetes"
"29",2.6064783003887,1.61885644203306,4.19662235266838,2003-01-01,12,"Overall","Galicia","Galicia","GA",71,"diabetes"
"30",2.43756599891195,1.50802372165124,3.94007595089126,2003-01-01,13,"Overall","Madrid","Madrid","MD",72,"diabetes"
"31",2.56510650454378,1.59004131472765,4.13811346831565,2003-01-01,14,"Overall","Murcia","Murcia","MC",73,"diabetes"
"32",2.36316069370579,1.44207060368831,3.87257631491329,2003-01-01,15,"Overall","Navarra","Navarra","NC",74,"diabetes"
"33",2.44978434932766,1.50669724451173,3.98317802735187,2003-01-01,16,"Overall","País Vasco","Pais Vasco","PV",75,"diabetes"
"34",2.38691085352428,1.46228458943422,3.89619330179521,2003-01-01,17,"Overall","La Rioja","La Rioja","RI",76,"diabetes"
"35",2.83488111058847,1.77109854330548,4.53760799564114,2006-01-01,1,"Overall","Andalucía","Andalucia","AN",61,"diabetes"
"36",2.31636697678109,1.45854592841319,3.67870210090634,2006-01-01,2,"Overall","Aragón","Aragon","AR",62,"diabetes"
"37",2.40367784550572,1.50760153411819,3.83235692868568,2006-01-01,3,"Overall","Asturias","Asturias","AS",63,"diabetes"
"38",2.51682956421314,1.56624337911792,4.04434658096672,2006-01-01,4,"Overall","Balears","Balears","IB",64,"diabetes"
"39",2.61430947618017,1.63329590356304,4.18455346782887,2006-01-01,5,"Overall","Canarias","Canarias","CN",65,"diabetes"
"40",2.66179311747164,1.65970520624718,4.26891629522564,2006-01-01,6,"Overall","Cantabria","Cantabria","CB",66,"diabetes"
"41",2.33030695676181,1.46158286125953,3.71537642966943,2006-01-01,7,"Overall","Castilla y León","Castilla y Leon","CL",67,"diabetes"
"42",2.6939270528875,1.68303716911424,4.31199209349518,2006-01-01,8,"Overall","Castilla - La Mancha","Castilla - La Mancha","CM",68,"diabetes"
"43",2.37500608597711,1.49254094538184,3.77922892224926,2006-01-01,9,"Overall","Cataluña","Catalunya","CT",69,"diabetes"
"44",2.30020902674699,1.38181796756196,3.82898593804186,2006-01-01,10,"Overall","Comunitat Valenciana","Comunitat Valenciana","VC",77,"diabetes"
